C�DIGO,DESCRIPCI�N,,,A�O,LADO,ARRIBA,MEDIO,ABAJO,COSTADO
1000,"TOYOTA CELICAC SPIDER AUTO 2 PUERTAS, P/ESQ./PEGADO",2002,1980,2002,B,108,91.5,142,76
1000,"TOYOTA CAMRY AUTO Y VAG. QUALIS, 4 PUERTAS P/REDONDA/PEGADO ",2001,1980,2001,B/A,116,80,151,
1000,"TOYOTA HIGHLANDER VAGONETA 4 PUERTAS, P/ESQ./PEGADO",1999,1980,1999,A/B,124,80,154,76
1000,"TOYOTA HILUX CAMIONETA Y TOYOTA FORTUNER VAGONETA 4 PUERTAS, P/REDONDA/PEGADO",2005,1980,2005,A,120,76.5,147,75.5
1000,TOYOTA AVALON AUTO 4 PUERTAS/PEGADO,2002,1980,2002,A,121,79.5,153,76
1000,"TOYOTA SPACIO COROLLA AUTO 4 PUERTAS, P/ESQ.",1998,1980,1998,A,113,93,140,89
1000,"TOYOTA IPSUM VAGONETA 4 PUERTAS, P/REDONDA/PEGADO",1998,1980,1998,,115,93,147,82
1000,"TOYOTA MATRIX VAGONETA 4 PUERTAS Y 2 PUERTAS, P/ESQ./PEGADO",2003,1980,2003,B,112.5,88.5,140,80
1000,"TOYOTA TACOMA CAMIONETA 4 PUERTAS Y 2 PUERTAS, P/ESQ./PEGADO",2005,1980,2005,A,124.5,72.5,150,
1000,TOYOTA CALDINA VAGONETA 4 PUERTAS/PEGADO,1998,1980,1998,A,110,83.5,147.5,78
1000,TOYOTA SIENNA FURGONETA P/RED/PEGADO,1999,1980,1999,A,125,99,160,90
1000,"TOYOTA LITEACE-NOAH MINIBUS, P/RED/PEGADO",1997,1980,1997,B/A,123,96,150,88
1000,"TOYOTA YARIS AUTO, 4 PUERTAS Y 2PUERTAS P/ESQ./PEGADO ",2005,1980,2005,B/A,110,88.5,134.5,86
1000,TOYOTA LAND CRUISER JEEP FJ/PEGADO,2007,1980,2007,B,134.5,49.5,162,49
1000,"TOYOTA RAUM VAGONETA 4 PUERTAS, P/RED/PEGADO",1998,1980,1998,A,114,85.5,145,79
1000,"TOYOTA RAV 4 JEEP Y VAGONETA,  P/ESQ.",2007,1980,2007,B/B/A,120,86,142,76
1000,TOYOTA REGIUS MINIBUS P/RED/PEGADO,1997,1998,97-98,,127,94.5,143/7,85
1000,TOYOTA NADIA VAGONETA 4 PUERTAS P/ESQ./PEGADO ,2000,1980,2000,A,116,99,143,92
1000,TOYOTA GAIA VAGONETA 4 PUERTAS P/ESQ. ,1999,1980,1999,B,117.5,95.5,143.5,84.5
1000,"TOYOTA TUNDRA CAMIONETA 2 PUERTAS 4PUERTAS, Y TOYOTA SEQUOIA VAGONETA 4 PUERTAS, P/ESQ./PEGADO",2007,2008,2007-2008,B,141,86.5,168,82.5
1000,TOYOTA SOLARA AUTO-2 PUERTAS P/ESQ./PEGADO,2004,1980,2004,A,118.5,87.5,153,80
1000,TOYOTA DYNA 2 PUERTAS  CHICO CAMIONETA /GOMA,2005,1980,2005,A/A/B,136,74.5,153,
1000,TOYOTA GRAN VIA MINIBUS P/RED/PEGADO,1998,2000,98-2000,A,138,95,156,86
1000,TOYOTA SYNOS AUTO 2 PUERTAS P/RED/PEGADO,1996,1980,1996,A/B,112,80,144,74
1000,TOYOTA COROLLA MR-2 SPIDER AUTO 2 PUERTAS,2001,1980,2001,A,114,81,144,58
1000,TOYOTA SIENNA FURGON P/RED,2005,1980,2005,B,138,102/108,165,89
1000,TOYOTA FUNCARGO VAGONETA 4 PUERTAS P/REDONDA,1999,1980,1999,B,117,85.5,135,77
1000,TOYOTA PROBOX VAGONETA 4PUERTAS P/REDONDA,2004,1980,2004,B,120,71.5,140,66.5
1000,TOYOTA VOXY-FURGON MINIBUS P/ESQ. /PEGADO,2004,1980,2004,B,122,105,143,96
1000,TOYOTA PRIUS-HYBRID AUTO 4 PUERTAS P/RED.,1998,1980,1998,A,116,94,141,82
1000,TOYOTA SCION AUTO 4 PUERTAS P/ESQ. /PEGADO,2005,1980,2005,,108,86.5,129,83
1000,TOYOTA OPA VAGONETA 4 PUERTAS P/ESQ. ALETA IZQ.,2004,1980,2004,B,124,98,143.5,93.5
1000,TOYOTA NOAH MINIBUS P/ESQ.,2004,1980,2004,B,122,106,143,96
1000,TOYOTA FILDER VAGONETA 4 PUERTAS P/ESQ.,2004,1980,2004,A,110,88.5,140,86
1000,TOYOTA RUNNER VAGONETA 4 PUERTAS P/ESQ. /PEGADO,2010,1980,2010,B,124.5,68,151,65.5
1000,TOYOTA VITZ AUTO 4 PUERTAS P/ESQ. /PEGADO,2006,1980,2006,A,110,88,134,86
1000,TOYOTA PASSO-BOON AUTO 4 PUERTAS P/ESQ.,2004,1980,2004,,116,83,131,79
1000,TOYOTA AVENSIS  VAGONETA 4 PUERTAS P/ESQ.,2004,1980,2004,A,114,89,142,84
1000,TOYOTA VISTA ARDEO VAGONETA 4 PUERTAS P/ESQ.,1998,1999,98-99,A/B,114,91,144,
1000,TOYOTA COROLLA AUTO 4 PUERTAS P/ESQ.,2010,1980,2010,A,114.5,90,142,
1000,TOYOTA ALLION  AUTO 4 PUERTAS  P/ESQ.,2004,2006,2004-2006,A,110,90,142,87
1000,TOYOTA CARINA CORONA ED Y AUTO 4 PUERTAS P/RED.,1999,1996,99-96,A/B,106,79.5,140,73
1000,TOYOTA CORONA PREMIUM AUTO 4PUERTAS P/RED.,1996,1998,96-98,A,108/118,78.5,147,75/73
1000,NISSAN CIVILAN MICROBUS/GOMA,1985,1994,85-94,,177,87.5,193,
2000,NISSAN VANETTE MINIBUS MEXICO/GOMA,1985,1991,85-91,A,123,79,147,
2000,NISSAN URVAN MINIBUS CARAVAN/GOMA,1980,1983,80-83,,132,69.5,154,
2000,NISSAN URVAN MINIBUS CARAVAN/GOMA,1985,1991,85-91,,126,82.5,154,79
2000,NISSAN URVAN MINIBUS CARAVAN/PEGADO,1985,1991,85-91,,127,83.5,155,79
2000,NISSAN SUNNY CALIFORNIA VAG. /GOMA,1987,1980,87,,107,72.5,145,
2000,NISSAN PICK-UP 1.500 - 1660 CAMIONETA /GOMA,1982,1987,82-87,B,115,63,139,60
2000,NISSAN CAMIONETA CABINA DOBLE-SENCILLA /PEGADO,1987,1995,87-95,,123,70.5,148.5,67
2000,NISSAN PATROL JEEP VAGONETA 4X4 /GOMA,1985,1992,85-92,B,126,59,144,
